Date;c25;sp500;dax
17-10-2023;1.677,55;4373,200195;15251,69043
16-10-2023;1.682,09;4373,629883;15237,99023
13-10-2023;1.699,11;4327,779785;15186,66016
12-10-2023;1.711,51;4349,609863;15425,03027
11-10-2023;1.708,70;4376,950195;15460,00977
10-10-2023;1.702,69;4358,240234;15423,51953
09-10-2023;1.668,86;4335,660156;15128,11035
06-10-2023;1.676,85;4308,5;15229,76953
05-10-2023;1.663,67;4258,189941;15070,21973
04-10-2023;1.644,49;4263,75;15099,91992
03-10-2023;1.645,04;4229,450195;15085,20996
02-10-2023;1.665,98;4288,390137;15247,20996
29-09-2023;1.700,59;4288,049805;15386,58008
28-09-2023;1.693,20;4299,700195;15323,5
27-09-2023;1.688,47;4274,509766;15217,4502
26-09-2023;1.692,38;4273,529785;15255,87012
25-09-2023;1.696,23;4337,439941;15405,49023
22-09-2023;1.713,59;4320,060059;15557,29004
21-09-2023;1.721,44;4330;15571,86035
20-09-2023;1.747,65;4402,200195;15781,58984
19-09-2023;1.717,88;4443,950195;15664,48047
18-09-2023;1.726,88;4453,529785;15727,12012
15-09-2023;1.742,71;4450,319824;15893,53027
14-09-2023;1.755,54;4505,100098;15805,29004
13-09-2023;1.715,50;4467,439941;15654,03027
12-09-2023;1.715,33;4461,899902;15715,53027
11-09-2023;1.727,65;4487,459961;15800,99023
08-09-2023;1.726,04;4457,490234;15740,29981
07-09-2023;1.723,38;4451,140137;15718,66016
06-09-2023;1.730,88;4465,47998;15741,37012
05-09-2023;1.737,55;4496,830078;15771,70996
01-09-2023;1.753,64;4515,77002;15840,33984
31-08-2023;1.736,43;4507,660156;15947,08008
30-08-2023;1.753,05;4514,870117;15891,92969
29-08-2023;1.796,95;4497,629883;15930,87988
28-08-2023;1.785,05;4433,310059;15792,61035
25-08-2023;1.764,53;4405,709961;15631,82031
24-08-2023;1.772,70;4376,310059;15621,49023
23-08-2023;1.769,66;4436,009766;15728,41016
22-08-2023;1.757,92;4387,549805;15705,62012
21-08-2023;1.747,72;4399,77002;15603,28027
18-08-2023;1.742,67;4369,709961;15574,25977
17-08-2023;1.756,68;4370,359863;15676,90039
16-08-2023;1.775,01;4404,330078;15789,4502
15-08-2023;1.768,14;4437,859863;15767,28027
14-08-2023;1.781,69;4489,720215;15904,25
11-08-2023;1.785,35;4464,049805;15832,16992
10-08-2023;1.805,47;4468,830078;15996,51953
09-08-2023;1.810,07;4467,709961;15852,58008
08-08-2023;1.812,75;4499,379883;15774,92969
07-08-2023;1.766,83;4518,439941;15950,75977
04-08-2023;1.756,22;4478,029785;15951,86035
03-08-2023;1.766,74;4501,890137;15893,37988
02-08-2023;1.773,52;4513,390137;16020,01953
01-08-2023;1.800,10;4576,72998;16240,40039
31-07-2023;1.809,71;4588,959961;16446,83008
28-07-2023;1.794,48;4582,22998;16469,75
27-07-2023;1.820,43;4537,410156;16406,0293
26-07-2023;1.809,33;4566,75;16131,45996
25-07-2023;1.829,00;4567,459961;16211,58984
24-07-2023;1.831,32;4554,640137;16190,9502
21-07-2023;1.842,62;4536,339844;16177,21973
20-07-2023;1.839,23;4534,870117;16204,21973
19-07-2023;1.830,14;4565,720215;16108,92969
18-07-2023;1.827,88;4554,97998;16125,49023
17-07-2023;1.815,55;4522,790039;16068,65039
14-07-2023;1.812,12;4505,419922;16105,07031
13-07-2023;1.810,14;4510,040039;16141,03027
12-07-2023;1.792,84;4472,160156;16023
11-07-2023;1.778,41;4439,259766;15790,33984
10-07-2023;1.774,41;4409,529785;15673,16016
07-07-2023;1.781,59;4398,950195;15603,40039
06-07-2023;1.783,10;4411,589844;15528,54004
05-07-2023;1.811,78;4446,819824;15937,58008
03-07-2023;1.814,50;4455,589844;16081,04004
30-06-2023;1.816,74;4450,379883;16147,90039
29-06-2023;1.792,14;4396,439941;15946,71973
28-06-2023;1.789,49;4376,859863;15949
27-06-2023;1.765,41;4378,410156;15846,86035
26-06-2023;1.778,84;4328,819824;15813,05957
23-06-2023;1.784,96;4348,330078;15829,94043
22-06-2023;1.797,05;4381,890137;15988,16016
21-06-2023;1.800,35;4365,689941;16023,12988
20-06-2023;1.815,78;4388,709961;16111,32031
16-06-2023;1.839,32;4409,589844;16357,62988
15-06-2023;1.829,27;4425,839844;16290,12012
14-06-2023;1.832,00;4372,589844;16310,79004
13-06-2023;1.822,44;4369,009766;16230,67969
12-06-2023;1.816,40;4338,930176;16097,87012
09-06-2023;1.821,52;4298,859863;15949,83984
08-06-2023;1.831,96;4293,930176;15989,95996
07-06-2023;1.825,17;4267,52002;15960,55957
06-06-2023;1.838,61;4283,850098;15992,44043
02-06-2023;1.818,13;4282,370117;16051,23047
01-06-2023;1.808,78;4221,02002;15853,66016
31-05-2023;1.802,63;4179,830078;15664,01953
30-05-2023;1.818,28;4205,52002;15908,91016
26-05-2023;1.829,61;4205,450195;15983,96973
25-05-2023;1.819,17;4151,279785;15793,79981
24-05-2023;1.815,48;4115,240234;15842,12988
23-05-2023;1.851,25;4145,580078;16152,86035
22-05-2023;1.882,99;4192,629883;16223,99023
17-05-2023;1.854,49;4158,77002;15951,29981
16-05-2023;1.864,39;4109,899902;15897,92969
15-05-2023;1.877,47;4136,279785;15917,24023
12-05-2023;1.872,05;4124,080078;15913,82031
11-05-2023;1.847,40;4130,620117;15834,91016
10-05-2023;1.835,91;4137,640137;15896,23047
09-05-2023;1.824,44;4119,169922;15955,48047
08-05-2023;1.840,05;4138,120117;15952,83008
04-05-2023;1.806,62;4061,219971;15734,24023
03-05-2023;1.815,01;4090,75;15815,05957
02-05-2023;1.817,84;4119,580078;15726,94043
28-04-2023;1.818,42;4169,47998;15922,37988
27-04-2023;1.811,35;4135,350098;15800,4502
26-04-2023;1.791,21;4055,98999;15795,73047
25-04-2023;1.826,09;4071,629883;15872,12988
24-04-2023;1.840,80;4137,040039;15863,9502
21-04-2023;1.838,54;4133,52002;15881,66016
20-04-2023;1.821,34;4129,790039;15795,96973
19-04-2023;1.826,52;4154,52002;15895,2002
18-04-2023;1.847,66;4154,870117;15882,66992
17-04-2023;1.846,28;4151,319824;15789,53027
14-04-2023;1.829,22;4137,640137;15807,5
13-04-2023;1.801,88;4146,220215;15729,45996
12-04-2023;1.777,60;4091,949951;15703,59961
11-04-2023;1.772,83;4108,939941;15655,16992
05-04-2023;1.761,77;4090,379883;15520,16992
04-04-2023;1.767,67;4100,600098;15603,46973
03-04-2023;1.769,37;4124,509766;15580,91992
31-03-2023;1.790,13;4109,310059;15628,83984
30-03-2023;1.790,13;4050,830078;15522,40039
29-03-2023;1.759,09;4027,810059;15328,78027
28-03-2023;1.738,92;3971,27002;15142,01953
27-03-2023;1.753,00;3977,530029;15127,67969
24-03-2023;1.735,32;3970,98999;14957,23047
23-03-2023;1.750,63;3948,719971;15210,38965
22-03-2023;1.748,49;3936,969971;15216,19043
21-03-2023;1.739,75;4002,870117;15195,33984
20-03-2023;1.720,22;3951,570068;14933,37988
